SL_EMP_VULN_FE_ZS,SL_EMP_VULN_MA_ZS,SL_TLF_ACTI_1524_FE_ZS,SL_TLF_ACTI_1524_MA_ZS,SL_TLF_ACTI_1524_ZS,SL_TLF_ACTI_FE_ZS,SL_TLF_ACTI_MA_ZS,SL_TLF_ACTI_ZS,SL_TLF_CACT_FE_ZS,SL_TLF_CACT_MA_ZS,SL_UEM_TOTL_FE_ZS,SL_UEM_TOTL_MA_ZS,SP_ADO_TFRT,SP_DYN_LE00_FE_IN,SP_DYN_LE00_MA_IN,desenv
67.3617819288908,67.351817850123,40.911,46.99,43.855,63.971,76.493,69.826,55.876,69.498,14.329,7.883,36.644,74.152,66.89,1
67.7646229645978,66.7620368335719,40.911,46.99,43.851,63.885,76.339,69.695,55.595,69.136,13.66,8.163,32.841,74.587,67.073,1
67.8382316941938,65.8222748708702,40.911,46.99,43.849,63.768,76.129,69.522,55.243,68.708,12.971,8.426,32.756,74.707,67.124,1
67.8420944578596,64.8466589020512,40.911,46.99,43.848,63.645,75.894,69.335,54.885,68.281,12.299,8.693,31.669,75.375,67.306,1
68.0131728696999,64.1072057199043,40.911,46.99,43.847,63.535,75.687,69.168,54.585,67.929,11.661,8.981,31.569,75.116,67.494,1
67.8184730924836,63.1317857338804,40.911,46.99,43.845,63.421,75.487,69.003,54.348,67.656,11.028,9.27,29.062,75.781,67.596,1
67.817662774605,62.5244645325439,40.911,46.99,43.844,63.314,75.297,68.845,54.199,67.494,10.403,9.565,24.607,76.011,67.743,1
67.7405846015891,62.0389907097118,40.911,46.99,43.846,63.228,75.123,68.706,54.2,67.488,9.77,9.85,24.544,76.322,68.08,1
67.587444948971,61.6374617597687,40.185,46.299,43.142,63.022,74.756,68.412,54.207,67.412,9.93,10.32,25.22,76.572,67.995,1
67.8950266835814,61.7044867378574,41.679,47.704,44.597,63.591,75.486,69.04,54.941,68.429,10.158,10.864,28.266,77.149,68.242,1
67.7049504131852,61.2915073112375,41.42,47.466,44.356,63.682,75.569,69.111,55.179,68.745,10.34,11.362,29.07,77.437,68.597,1
67.7511278160913,61.1702744279748,40.948,47.025,43.911,63.768,75.59,69.154,55.298,68.881,10.495,11.829,28.694,77.713,68.613,1
